"Gene","uniprot_id","N_seq","Old_OP_S06_Pre","Old_OP_S11_Pre","Old_OP_S12_Pre","Old_OP_S17_Pre","Old_O_S05_Pre","Old_O_S06_Pre","Old_O_S07_Pre","Old_O_S10_Pre","Old_O_S16_Pre","Old_O_S17_Pre","Old_O_S24_Post","Old_O_S24_Pre","Old_O_S28_Pre","Old_O_S29_Pre","Old_O_S32_Pre","Old_O_S35_Pre","Old_OP_S06_Post","Old_OP_S11_Post","Old_OP_S12_Post","Old_OP_S17_Post","Old_O_S05_Post","Old_O_S06_Post","Old_O_S07_Post","Old_O_S10_Post","Old_O_S16_Post","Old_O_S17_Post","Old_O_S28_Post","Old_O_S29_Post","Old_O_S32_Post","Old_O_S35_Post","Young_YP_S14_Pre","Young_YP_S45_Pre","Young_YP_S56_Pre","Young_Y_S01_Pre","Young_Y_S05_Pre","Young_Y_S07_Pre","Young_Y_S10_Pre","Young_Y_S11_Pre","Young_Y_S16_Pre","Young_Y_S28_Pre","Young_Y_S30_Pre","Young_Y_S31_Pre","Young_Y_S32_Pre","Young_Y_S34_Pre","Young_Y_S35_Pre","Young_Y_S36_Pre","Young_Y_S40_Pre","Young_YP_S14_Post","Young_YP_S45_Post","Young_YP_S56_Post","Young_Y_S01_Post","Young_Y_S05_Post","Young_Y_S07_Post","Young_Y_S10_Post","Young_Y_S11_Post","Young_Y_S16_Post","Young_Y_S28_Post","Young_Y_S30_Post","Young_Y_S31_Post","Young_Y_S32_Post","Young_Y_S34_Post","Young_Y_S35_Post","Young_Y_S36_Post","Young_Y_S40_Post","Contaminant"
"CDH13","P55290","9",4764720,3523550,3342100,5049440,5500930,3702870,3602110,5262950,2466080,4776730,3729520,4245510,5308270,3505980,5473250,4088230,5025550,3323450,3438840,4007730,3771900,3982320,3425290,4139680,2684080,4624690,5049510,6315240,2612790,2401590,3278850,5001280,4411790,2898320,2093940,3783120,6894800,7936190,4366260,2963520,3641650,3607190,2913890,2505670,3027030,2763100,4581350,2746340,4816370,2794890,4611560,3999510,3957030,5203510,4968080,4131960,3144680,3852790,3161460,3291060,3750960,3176870,3146540,4750510,"-"
"CDIPT","O14735","2",NA,NA,NA,NA,227649,NA,NA,NA,NA,NA,NA,58658.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,169575,NA,NA,NA,NA,NA,NA,135586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-"
"CDKN1B","P46527","2",NA,60033.7,NA,NA,19753.1,36459.8,NA,54332.6,NA,33424.1,17982.3,55783.8,NA,NA,29194.7,NA,NA,NA,NA,NA,NA,NA,NA,48990.3,NA,NA,NA,73534,37662.6,24777.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35509.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-"
"CDS2","O95674","2",397398,310711,352929,448766,604757,468917,511440,521349,363226,453828,312197,213057,430351,454793,404479,338174,395850,517159,319431,509469,370473,956978,408567,271671,364433,463075,NA,411846,407484,220450,268706,NA,352120,320178,NA,NA,NA,NA,352650,368573,266271,261021,277862,NA,385725,303107,273380,361846,244339,534042,379018,NA,NA,402669,323291,NA,314046,344236,277662,328224,NA,290112,NA,475612,"-"
"CDV3","Q9UKY7","8",609578,788301,569115,1000100,790355,734434,424540,713022,690745,898764,591497,618672,1023080,606339,779245,724216,745954,773055,794452,789204,1035060,708477,554620,644599,734973,812912,856493,878252,644361,1025530,754157,549683,679543,797686,NA,NA,NA,NA,640433,541273,897874,1083900,979743,408815,1012460,864950,1032340,961723,530325,971427,763278,NA,650101,518072,823892,572768,728006,661176,1029070,951614,767980,845195,1154220,809218,"-"
"CELF1","Q92879","4",NA,98793.6,NA,134268,46297.2,48750.3,55446.8,100546,95971.5,88276.9,56452.1,87590.9,58678.7,80853.7,55377.3,79015.1,87722.7,99752,68416,NA,77562,115266,78494.9,71639.6,68165.5,89296.3,NA,68719,79317.8,120399,89533.9,NA,92169.4,152713,NA,NA,NA,NA,73866.1,96668.5,113372,NA,91328.4,NA,94053.1,175334,123532,80153,126283,67671.8,106352,NA,58984,83375.7,NA,65496.2,105097,154990,NA,122679,NA,94323.2,82086.2,51229.2,"-"
"CENPJ","Q9HC77","1",6673500,NA,NA,24069800,NA,NA,NA,10689700,NA,8852330,10390100,NA,NA,NA,16309200,NA,8854310,NA,NA,18691000,15617600,NA,NA,10422000,NA,NA,11137200,6749970,12570900,12374100,10371100,12527900,NA,9942940,52083600,22816000,12914000,41942400,NA,NA,NA,NA,NA,NA,NA,9100900,13145100,11105000,NA,NA,16653300,26501500,19647800,23063700,13128100,14458400,10186700,NA,NA,NA,NA,NA,10849800,NA,"-"
"CES1","P23141","2",NA,NA,NA,NA,NA,NA,NA,NA,46220.2,NA,NA,31872.8,NA,NA,NA,NA,NA,62140.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,157708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-"
"CES2","O00748","9",1573230,1249770,2200730,3320760,2861040,2720360,851235,NA,1392500,1064670,1806490,1633150,540929,1686510,1403610,2695340,1142570,2364070,2368880,2942670,2659770,4066230,875442,2312700,1643440,997768,NA,857193,1413590,2355650,1386440,1607140,1642150,NA,NA,NA,862500,NA,1089020,1733040,1151360,672251,1717730,NA,NA,1332080,NA,3050510,1774580,1498520,2087630,1988320,NA,NA,NA,2206370,1145490,1171820,739708,1844540,1580570,515215,1596950,1013700,"-"
"CFB","P00751","11",805255,546682,492430,841965,719808,908297,617171,1377440,783662,859891,611563,924199,1223330,763314,966633,491801,985967,553500,509169,1336310,449799,762336,735114,1280600,738711,853839,1196090,1985700,531899,1003240,775955,620555,780131,662992,NA,NA,NA,579566,305372,721802,311575,575379,1136870,NA,309507,767832,253386,686969,643533,659615,823099,539542,NA,462374,574082,456725,637248,557822,530832,791613,489653,517973,1073210,NA,"-"
"CFD","P00746","1",NA,NA,NA,NA,NA,NA,NA,NA,45484.9,54577.2,NA,NA,96067.7,NA,39855.4,NA,87395.8,NA,40508.9,NA,NA,NA,NA,NA,NA,NA,NA,132063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-"
"CFH","P08603","23",486080,440836,277268,460275,488040,819359,228974,700835,595136,554762,336776,533085,610114,597939,729591,335432,839410,471405,270170,817989,368077,785576,420557,579991,446068,552351,543189,1549460,347113,833521,433702,NA,360176,467330,NA,NA,256822,354066,254660,493141,242157,338998,416132,NA,299436,266157,NA,314087,253197,459547,355358,NA,NA,370717,377374,279652,314141,256145,280514,303450,276538,333037,933435,228741,"-"
"CFHR1","Q03591","2",NA,13649.5,NA,NA,NA,NA,NA,NA,NA,12636.4,NA,14209.2,NA,9428.79,13609.1,NA,NA,12892,NA,NA,NA,NA,NA,NA,NA,26447.7,NA,32494,9116.01,13044.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-"
"CFI","P05156","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61205.2,NA,NA,54193.3,NA,NA,NA,NA,NA,NA,NA,34206.7,NA,NA,53700,40684.9,90183.8,27370,56361.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-"
"CFL1","P23528","12",101776000,84384400,64220600,77681800,113076000,78536100,82538600,94838500,91126600,88489900,86096400,75346400,106845000,77391500,81436600,88038400,100759000,87989700,86697100,67677800,102014000,90217600,84069800,90269600,86680600,81962700,84665600,103272000,85128200,89885700,95052100,84819700,68947400,108586000,43680100,74794000,40556900,53770000,82228600,92384000,95099200,106379000,91980200,81204800,87361400,102528000,86822500,74512000,103704000,51068400,94540900,35651900,45080000,37837900,85468800,92093200,86893800,96110300,110991000,79459000,99474200,97466000,115452000,80921700,"-"
"CFL2","Q9Y281","9",134684000,130300000,85085000,105840000,162381000,122795000,113171000,170171000,161047000,148616000,100395000,93300400,158017000,129355000,123293000,157384000,97580800,150477000,116421000,107438000,158366000,124853000,141611000,136686000,172714000,137645000,131037000,148739000,143087000,135172000,111135000,127836000,100249000,125348000,207283000,169665000,108711000,119912000,131507000,129814000,134118000,148919000,127084000,107777000,130412000,123352000,132239000,93735700,104920000,64597500,128381000,140095000,199464000,92244800,122487000,130602000,121251000,119084000,136578000,108593000,136014000,105723000,143921000,115340000,"-"
"CHCHD10","Q8WYQ3","1",NA,3689000,NA,NA,3071570,NA,NA,NA,NA,NA,4622530,NA,NA,NA,5651540,6220020,4239620,2875710,NA,NA,NA,NA,NA,NA,4522500,5394400,4103420,NA,2434740,NA,NA,NA,NA,NA,NA,6889930,4869380,8935440,NA,NA,NA,4768770,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10242000,10126100,NA,NA,NA,NA,4747770,NA,5997270,7487220,NA,3799430,"-"
"CHCHD2","Q9Y6H1","3",3834700,5207380,2874490,2018660,2445910,3799630,1380150,5049070,4856800,5525820,2920290,2918400,3839380,5635810,10522900,6073690,4460070,8467070,4015350,1611130,4512610,5708050,5815070,3142540,7019240,6600400,3357710,7540380,5237100,5324120,1280800,1689170,2134170,2783020,NA,5088220,3669640,4780330,1484750,2040000,2724690,7993690,2656550,2576970,3402710,2941950,2473440,1553100,1825670,1768140,2706080,NA,2113950,4995510,4039130,1732400,2275250,1949050,2380520,1832720,1948280,3094250,5291610,3170890,"-"
"CHCHD3","Q9NX63","13",11597300,15655900,12865700,25449400,15200900,24808400,9435640,15703900,14755300,13633700,13719600,9927240,13830800,16439900,13699300,20240400,8937020,16091600,11921600,22931500,16260100,11751000,15163300,16718900,15762100,13468400,17931700,10984800,13734100,13336400,19541900,16626500,13061500,14838900,54959900,18245000,16165900,21618900,15079300,13657100,11780900,16093100,13315300,17950100,13078600,10215500,16272500,9855010,15765000,7883770,13199300,26182600,22209000,18423300,17678100,17695300,12310300,7804770,11116300,9387750,16429000,11314300,13609600,12780900,"-"
"CHCHD4","Q8N4Q1","4",NA,167852,174773,217971,113525,217660,121004,NA,145950,142828,NA,153759,NA,200407,261511,239217,98765.5,256727,225480,329596,208004,199446,193125,144438,197442,247104,207781,119772,NA,191839,NA,NA,NA,NA,NA,NA,125273,86823.8,108121,NA,132567,109734,NA,NA,NA,NA,135141,144478,NA,163531,183991,NA,NA,NA,112076,99039.9,117479,162175,NA,157689,NA,81212.4,NA,223454,"-"
"CHCHD7","Q9BUK0","1",367463,471903,352133,730091,299017,630795,214375,554856,370838,323366,496636,441883,389494,327775,418135,504354,342604,647564,451964,616095,388981,269116,513963,464815,497338,412432,477412,319559,288565,273453,369713,394548,307973,272388,NA,149268,NA,489475,402327,407882,239183,457295,354865,111065,300560,252009,480492,275388,342827,178653,237708,111759,NA,NA,684879,347001,295573,264198,244543,278390,221069,223048,335568,178823,"-"
"CHDH","Q8NE62","5",33046.6,98110.8,60260.7,171210,44483.4,118893,29545.4,79017,67001.9,106232,135336,53111.8,50507.5,61240.6,113144,64325.9,92301.8,61847.6,117154,152235,62085.9,76868.2,94656.2,89901.4,75888.5,144805,88050.5,97659.4,81230.6,83372,NA,NA,125485,NA,NA,NA,NA,NA,42535.3,71319.1,NA,NA,NA,NA,78618.5,NA,72572.9,66550.5,NA,53446.5,79836.2,NA,NA,NA,NA,51742.5,58352.2,NA,NA,64766.5,NA,33081.1,NA,46760.9,"-"
"CHMP1A","Q9HD42","1",NA,407904,236733,NA,168057,507764,NA,NA,NA,353225,NA,NA,512683,NA,NA,NA,NA,NA,NA,NA,NA,454529,NA,NA,460506,NA,334595,NA,NA,NA,NA,NA,546766,NA,NA,NA,NA,NA,NA,NA,353850,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,450556,NA,NA,NA,NA,NA,NA,"-"
"CHMP1B","Q7LBR1","5",864146,451504,285308,322356,961941,443394,408135,438177,389917,376934,605452,443636,709546,347968,334954,271165,467000,647700,473004,287849,425897,413798,347199,322739,412528,332529,422353,477390,433433,448465,338402,613548,299433,456424,414774,NA,452871,679216,431599,556372,492506,413934,310435,NA,627134,511635,448822,236027,554292,448360,298706,457045,886680,713469,645602,539443,308976,415419,434578,241894,520222,391839,623902,892238,"-"
"CHMP2A","O43633","5",849299,823845,739353,662288,828809,856314,605328,708344,710776,717427,716939,741311,767719,809719,925396,790795,757497,705388,833199,773135,749561,782738,679177,731125,1064680,828367,839373,716684,751451,813870,492974,566471,631166,547158,859728,640228,526990,732367,861516,544733,929797,596235,614665,NA,655729,655998,732018,704705,747894,693875,818227,NA,894521,754908,552085,604033,639075,850223,553060,657864,640149,431179,842166,826656,"-"
"CHMP2B","Q9UQN3","2",128529,205835,116011,239540,NA,NA,237361,293109,165697,237067,203941,161991,206078,180410,172751,180256,NA,118973,210083,NA,190760,NA,201283,206904,198665,207008,193299,185276,215652,180892,171659,230501,207908,232208,NA,NA,117257,NA,160041,145350,165582,242312,NA,NA,262485,NA,201845,211196,130166,193446,167480,138954,NA,133992,231790,200578,NA,148299,185344,179527,168848,175730,232842,171462,"-"
"CHMP4B","Q9H444","4",1688240,1285090,1243330,1536270,2687610,1156690,1171130,1639380,1522900,1317860,1666340,1309560,1529460,1461770,2045480,1656860,1936690,1672350,1466020,1165160,1681980,1935850,1381210,1673880,1648500,1682240,1618500,1538190,1543790,1800020,1281520,1441020,1594790,1616960,1163300,1294320,792091,1571500,1991360,2058820,1914220,1650790,1682300,852915,1164380,1647800,1181060,1425550,1525510,1363700,1903990,746266,1806380,1077510,1392000,1480860,1528170,1766030,2407010,1650630,1965820,1896060,1712760,1714490,"-"
"CHMP5","Q9NZZ3","2",193706,131041,137484,158879,228829,78864.8,NA,NA,184101,77994.1,114790,77489.2,145258,151452,115733,117028,114496,108667,133076,NA,110646,244595,138623,NA,122766,148913,137356,112054,98571.8,155393,NA,209936,NA,NA,802561,NA,NA,NA,NA,92254.8,137407,NA,NA,NA,171749,NA,NA,92975,NA,115625,106814,NA,NA,NA,192034,134003,NA,127024,NA,138604,NA,NA,NA,140061,"-"
"CHMP6","Q96FZ7","3",53484.8,69196.4,69047.1,62222.4,60284.2,48449,33621.5,87165.6,74143.4,54207.1,79294.9,45202.7,79513.7,66827.8,77492.3,87091.6,77633.3,85917.7,71646.8,40772,83490,67387.6,48331.8,62116.6,71424.1,71379.3,59591,71765.3,63722.8,58016.5,31606.5,46267,68826,38802.1,NA,NA,NA,NA,50992.3,66583.2,57779.9,75138.8,38924.6,NA,50714.9,59636.6,66316.9,79587.5,53888.9,75064.3,71012.6,NA,NA,NA,46342.7,NA,NA,73606.1,32976.9,53116.8,NA,49942.7,40097,71276.2,"-"
"CHORDC1","Q9UHD1","3",NA,59092.3,50936.4,NA,NA,71960.9,NA,NA,91839.6,NA,88739.9,102193,NA,54007.3,75671.4,91619.8,NA,NA,62396.8,NA,69492.3,68375.1,NA,77716.6,63369.3,68476.8,NA,NA,72752.1,102938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,118712,NA,108780,NA,NA,NA,NA,NA,NA,NA,NA,NA,97360.2,NA,NA,NA,NA,"-"
"CHP1","Q99653","3",NA,430496,244982,322165,415406,347708,374746,436910,326772,432382,281386,385476,412911,338053,443629,343189,305059,406608,NA,NA,246367,320334,374830,416418,417796,407371,460055,603425,331777,403422,NA,NA,359785,491072,NA,392233,553106,460010,415418,NA,534054,NA,575185,NA,385076,471112,361584,305386,NA,477767,432254,NA,NA,732391,NA,426220,422354,318761,311230,461833,452731,397117,415782,391160,"-"
"CIAO1","O76071","2",NA,76024.4,67727.6,NA,217462,82544.3,NA,NA,82733.1,NA,70157.3,NA,NA,NA,111133,75382.2,88142.7,NA,79387.1,NA,74432.6,99752.6,NA,74867.9,NA,97761.7,NA,NA,79141.3,65495.8,NA,NA,79829,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72014.6,NA,71717.6,NA,NA,NA,NA,NA,NA,79855.1,72807.1,NA,NA,NA,NA,NA,NA,"-"
"CIAO2A","Q9H5X1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,217339,NA,150630,90566.6,NA,NA,NA,NA,NA,NA,NA,NA,227052,NA,70549.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-"
"CIAPIN1","Q6FI81","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25353.5,108429,NA,NA,52602.9,38959,NA,NA,NA,25482.4,NA,46313.8,NA,NA,NA,20937.7,NA,NA,NA,21833.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150014,NA,25487.5,NA,NA,NA,NA,NA,NA,NA,45657,NA,NA,NA,39939.3,82172.3,26738.9,"-"
"CILP","O75339","2",352036,169531,348901,219855,NA,NA,NA,195110,352257,NA,NA,118031,251293,NA,216600,348029,199701,413224,442519,215603,NA,424043,238459,242554,338740,NA,330038,231402,349696,278837,NA,NA,217010,492748,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,253845,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,152418,NA,NA,NA,NA,NA,NA,NA,"-"
"CIRBP","Q14011","4",1072630,1740350,NA,NA,1014080,NA,754859,1212420,715935,1285170,671813,NA,1595040,NA,979222,NA,1471880,932433,NA,NA,NA,NA,NA,NA,1168330,703980,1429230,1434620,969952,939912,NA,1344630,NA,1792540,NA,NA,NA,NA,NA,1874120,1701260,914252,1123470,NA,1330310,736080,1658390,748369,NA,770278,NA,NA,NA,NA,NA,NA,1615560,728458,1295890,NA,1018940,989213,693975,1737790,"-"
"CISD1","Q9NZ45","5",58762100,79122400,78944400,117669000,59191800,97782700,46773400,77606200,61314500,58945900,86269100,70725600,74931800,81493400,74746000,119271000,59005400,112202000,91535800,92733000,73411900,61640200,78938300,85416100,77873500,84938900,87434500,58866700,67308000,62838600,78318400,64264600,72746900,66389500,40143300,56569400,43815100,55851500,75072200,78243600,53263000,79494200,61314900,61693900,73019700,48554000,73429500,82065000,62532700,49800300,92939000,39519700,45682600,32704900,66602700,90067900,78892200,65030700,63565200,66324400,65740900,58830200,57986000,44767100,"-"
"CISD2","Q8N5K1","2",NA,325543,260514,NA,251074,NA,220000,275673,NA,NA,197840,225978,190149,221051,299616,234201,265004,339582,236321,NA,258483,402956,NA,NA,NA,296516,NA,370966,278138,248444,NA,NA,213868,NA,NA,NA,NA,NA,240563,NA,263049,NA,NA,NA,NA,NA,NA,254472,260675,293412,238787,NA,NA,NA,NA,NA,295721,220941,NA,203770,NA,NA,NA,196414,"-"
"CKAP4","Q07065","6",NA,223203,117301,303178,NA,243896,NA,NA,218784,209909,NA,NA,NA,NA,393310,NA,216445,404326,241858,NA,166199,772624,233940,NA,306902,247562,NA,170044,210446,337694,NA,NA,350106,NA,NA,NA,NA,201512,NA,210281,NA,NA,NA,NA,NA,NA,NA,373394,NA,386088,411550,189352,230316,221199,NA,224786,NA,282893,445377,238936,220328,224537,236740,348531,"-"
"CKAP5","Q14008","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35619700,NA,NA,NA,NA,NA,NA,NA,45450700,NA,NA,NA,NA,44394600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26605700,NA,53182900,NA,NA,NA,NA,NA,NA,NA,NA,NA,64063000,NA,NA,NA,NA,"-"
"CKB","P12277","21",4006780000,2407330000,2655710000,3175040000,2450350000,3222050000,2471930000,3087920000,2326230000,2076070000,2330930000,3224880000,2243410000,2737240000,2189730000,2841710000,2444910000,2312910000,2896100000,3482780000,2367300000,2192430000,2485410000,2704030000,2816170000,1591310000,2910490000,2801970000,2437600000,1736410000,3192450000,3187850000,2349630000,2472200000,2310770000,2220730000,2691450000,1707980000,3033780000,2141140000,2032510000,2963980000,2886980000,2612820000,2140110000,2594840000,2173140000,2352790000,2839460000,1563560000,2405260000,2283120000,1946200000,1018060000,2572870000,2189960000,2701270000,1822590000,2415480000,2431680000,2068940000,1720090000,2398440000,1805100000,"-"
"CKM","P06732","30",7730070000,4.971e+09,6214760000,6186360000,5940270000,5549950000,6657580000,6827440000,5787610000,5885730000,5284730000,6240860000,6066980000,5293250000,6152380000,6321860000,6807980000,4559130000,6688620000,5883580000,5600850000,3681420000,5974350000,5893070000,5.593e+09,4987540000,6212950000,7549350000,5.478e+09,4149830000,8535610000,8827930000,5176610000,6176300000,5219370000,5829340000,6956290000,10054200000,6727330000,4983160000,4620770000,7324220000,6659870000,6098450000,5183950000,6587050000,6235160000,5842580000,7940920000,4177640000,6414860000,4752670000,4936010000,3956070000,7203290000,5600610000,7048800000,4439900000,5571460000,6000640000,5066290000,4699510000,6449510000,4288850000,"-"
"CKMT1A","P12532","6",54487900,43144900,43755200,220849000,148830000,188665000,31077000,56776900,62342900,58082300,79657700,70908400,48936400,88170000,86201600,144484000,52344300,67294800,74382600,183014000,91115200,67855500,86678300,87084400,63270700,88061700,106444000,53114700,68252500,58734300,84802400,52969000,66774100,53029300,616656000,198848000,181060000,349977000,103143000,54374100,55932200,124882000,64836600,73068300,51905600,41551800,69664100,76879300,55026400,37815700,102584000,437334000,225723000,228411000,110701000,101487000,47816500,71136400,68637800,66590200,86752000,42797000,53684300,46887700,"-"
"CKMT2","P17540","15",190487000,168592000,220580000,682392000,239615000,501442000,124409000,184163000,203029000,209487000,275560000,264961000,192066000,278380000,318874000,393752000,225645000,223976000,267884000,616619000,276373000,180943000,258920000,223178000,267995000,297338000,318082000,178981000,207287000,240825000,265700000,163162000,239418000,196994000,218188000,231652000,145608000,328181000,265653000,222734000,175015000,353149000,227623000,289930000,172960000,147964000,279502000,261300000,223437000,149502000,293392000,180042000,115243000,82297800,328616000,317481000,170701000,238609000,281010000,221728000,268936000,175733000,176204000,142909000,"-"
"CLASP1","Q7Z460","3",NA,44798.4,NA,NA,NA,36092.6,NA,NA,NA,40983.6,52396.9,NA,NA,41756.1,NA,NA,NA,46352.8,NA,NA,45984.3,40294.7,NA,40839,53329,63742.8,NA,NA,36669.8,70193.4,NA,NA,47043.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-"
"CLASP2","O75122","5",NA,181673,75590.8,198712,70166.6,213984,102593,167228,185873,212574,132574,89111.8,186013,233578,177393,239152,122947,194820,130248,91569.1,195006,138923,148683,142788,109123,222661,119393,196693,146046,146581,NA,NA,166953,159348,NA,NA,NA,NA,143333,105963,113060,NA,NA,NA,133470,121121,101026,89730.9,NA,67401.7,NA,NA,NA,NA,NA,NA,146119,141483,NA,NA,NA,NA,128595,NA,"-"
"CLCC1","Q96S66","4",NA,146606,110487,NA,112995,90753.5,NA,NA,120341,114109,140293,124784,137422,144743,149565,139455,NA,NA,NA,NA,121882,114986,114865,132221,95651.8,127011,NA,134271,NA,129481,148427,NA,129705,NA,NA,NA,NA,NA,NA,NA,147274,NA,NA,NA,135751,128928,NA,117934,NA,156392,NA,NA,NA,NA,NA,NA,NA,137287,NA,NA,NA,NA,NA,125204,"-"
"CLEC3B","P05452","4",NA,374057,284210,485452,1031680,424182,534886,329162,570132,363852,331399,656837,1027320,503262,488112,364593,535037,434278,362416,497956,343972,646938,447964,572225,329887,476331,782272,722546,491017,548149,337240,NA,540853,323252,NA,NA,NA,NA,281265,242592,NA,358496,181518,NA,NA,NA,NA,679430,270577,775842,364301,NA,NA,NA,NA,304614,524624,263143,282772,361502,NA,265624,455728,NA,"-"
"CLIC1","O00299","8",804034,657346,599119,672780,531646,626992,355491,582545,684719,594083,467744,620852,760862,632857,952954,554976,882602,1038770,697990,628231,539064,1905010,803455,494393,733651,726261,724752,745005,650974,936656,470960,612406,708944,768586,451397,803353,796749,457833,710535,552982,518591,608450,569710,588906,604353,529810,549894,740663,535309,754758,897130,782643,1428240,1750530,NA,720671,524973,812238,1071040,717405,591004,669048,839247,661547,"-"
"CLIC3","O95833","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-"
"CLIC4","Q9Y696","6",557397,687282,740356,1021660,1187760,692938,357271,596757,742239,609588,778965,595163,441691,576284,1094520,588304,686585,1289060,738308,671353,717753,2681620,492026,764737,810810,832901,647737,596074,805406,810661,736197,743432,1234020,942055,NA,NA,937632,762804,1390090,743771,1326540,1154730,1432450,643312,1010110,1422950,853745,1153670,905077,1353480,1182050,NA,1317850,1672590,725286,1303280,443557,1304040,2205790,1463910,1091830,1067610,1475250,1833290,"-"
"CLIC5","Q9NZA1","5",5056900,4055260,3131280,3902740,7711040,3929130,3399710,5801010,4936090,4337950,3528790,3470360,5516830,3960470,2766170,4611140,4420860,3825210,3334510,3121120,4818300,3053810,4080250,4266780,4187210,4144190,4479050,3436050,4172410,3211200,4526820,7739490,3780240,3971820,3514400,4526880,7506630,7973430,5775510,3588890,5321480,5281260,3929390,3880600,4926710,5156870,4834970,2958070,6632800,2795620,2998570,4075580,6041380,4885610,3931280,5610220,4569090,4777450,3483670,3740350,6741950,3615840,6210670,3771700,"-"
